estrategia,codigo,cuenta_de_cobro,cuenta
Estrategia 1,cod 1,cdc 1,101.0
Estrategia 1,cod 1,cdc 1,102.0
Estrategia 1,cod 1,cdc 1,103.0
Estrategia 1,cod 1,cdc 2,101.0
Estrategia 1,cod 1,cdc 2,102.0
Estrategia 1,cod 1,cdc 2,103.0
Estrategia 1,cod 1,cdc 3,101.0
Estrategia 1,cod 1,cdc 3,102.0
Estrategia 1,cod 1,cdc 3,103.0
Estrategia 1,cod 1,cdc 4,101.0
Estrategia 1,cod 1,cdc 4,102.0
Estrategia 1,cod 1,cdc 4,103.0
Estrategia 1,cod 1,cdc 5,101.0
Estrategia 1,cod 1,cdc 5,102.0
Estrategia 1,cod 1,cdc 5,103.0
Estrategia 2,cod 2,cdc 3,105.0
Estrategia 2,cod 2,cdc 3,102.0
Estrategia 2,cod 2,cdc 3,106.0
Estrategia 2,cod 2,cdc 3,107.0
Estrategia 2,cod 2,cdc 2,105.0
Estrategia 2,cod 2,cdc 2,102.0
Estrategia 2,cod 2,cdc 2,106.0
Estrategia 2,cod 2,cdc 2,107.0
